1 101
0 -4 0
-0.199662 -3.98991 0.0159155
-0.397319 -3.95993 0.031831
-0.590996 -3.91038 0.0477466
-0.778758 -3.84173 0.0636621
-0.958729 -3.75468 0.0795773
-1.12911 -3.65011 0.0954925
-1.2882 -3.52904 0.111408
-1.43441 -3.39269 0.127323
-1.56628 -3.24243 0.143239
-1.68248 -3.07976 0.159155
-1.78187 -2.9063 0.175071
-1.86344 -2.72378 0.190987
-1.92639 -2.53403 0.206903
-1.97007 -2.33895 0.222819
-1.99406 -2.14048 0.238734
-1.99812 -1.9406 0.25465
-1.9822 -1.74132 0.270564
-1.94647 -1.54462 0.286479
-1.89128 -1.35247 0.302393
-1.81718 -1.1668 0.318308
-1.72492 -0.989445 0.334222
-1.61541 -0.822189 0.350137
-1.48975 -0.666702 0.366051
-1.34919 -0.524536 0.381965
-1.19514 -0.397114 0.39788
-1.02915 -0.285706 0.413794
-0.852857 -0.191428 0.429709
-0.668036 -0.11522 0.445623
-0.476529 -0.0578439 0.461538
-0.280251 -0.0198734 0.477452
-0.0811635 -0.00168775 0.493367
0.118745 -0.00346855 0.509281
0.317478 -0.025198 0.525195
0.513048 -0.0666591 0.54111
0.703503 -0.127438 0.557024
0.886937 -0.206926 0.572939
1.06152 -0.30433 0.588853
1.22551 -0.418677 0.604768
1.37726 -0.548824 0.620682
1.51526 -0.69347 0.636597
1.63813 -0.851171 0.652511
1.74464 -1.02035 0.668425
1.83373 -1.19932 0.68434
1.90451 -1.38629 0.700254
1.95627 -1.57939 0.716169
1.98849 -1.77669 0.732083
2.00086 -1.97623 0.747998
1.99324 -2.176 0.763912
1.96572 -2.37401 0.779827
1.91856 -2.56829 0.795741
1.85225 -2.75689 0.811655
1.76744 -2.93792 0.82757
1.66498 -3.10958 0.843484
1.54589 -3.27016 0.859399
1.41137 -3.41805 0.875313
1.26276 -3.55177 0.891228
1.10153 -3.66998 0.907142
0.929317 -3.7715 0.923056
0.747824 -3.85533 0.938971
0.558869 -3.92062 0.954885
0.364339 -3.96672 0.9708
0.16618 -3.99317 0.986714
-0.0336302 -3.9997 1.00263
-0.233094 -3.98625 1.01854
-0.430219 -3.95296 1.03446
-0.623035 -3.90015 1.05037
-0.809617 -3.82836 1.06629
-0.988098 -3.7383 1.0822
-1.1567 -3.63087 1.09812
-1.31373 -3.50714 1.11403
-1.45762 -3.36836 1.12994
-1.58695 -3.21591 1.14586
-1.7004 -3.0513 1.16177
-1.79686 -2.87619 1.17769
-1.87535 -2.69233 1.1936
-1.93509 -2.50155 1.20952
-1.97549 -2.30575 1.22543
-1.99614 -2.10691 1.24135
-1.99684 -1.90699 1.25726
-1.97757 -1.708 1.27317
-1.93854 -1.51194 1.28909
-1.88012 -1.32074 1.305
-1.80291 -1.13634 1.32092
-1.70768 -0.960562 1.33683
-1.59537 -0.795173 1.35275
-1.46711 -0.641821 1.36866
-1.32419 -0.502039 1.38458
-1.16802 -0.377225 1.40049
-1.00017 -0.268625 1.4164
-0.822323 -0.177324 1.43232
-0.636246 -0.104235 1.44823
-0.443802 -0.050087 1.46415
-0.246913 -0.0154224 1.48006
-0.047548 -0.000586967 1.49598
0.152303 -0.005729 1.51189
0.350641 -0.0307971 1.52781
0.545487 -0.0755408 1.54372
0.734892 -0.139513 1.55963
0.916964 -0.222075 1.57555
1.08988 -0.322401 1.59146
